noise gender exp performance
H F 3 629
H F 3 495
H F 3 767
H F 2 253
H F 2 141
H F 2 392
H F 1 161
H F 1 55
H F 1 271
H M 3 591
H M 3 492
H M 3 693
H M 2 321
H M 2 212
H M 2 438
H M 1 147
H M 1 79
H M 1 273
M F 3 324
M F 3 213
M F 3 478
M F 2 213
M F 2 106
M F 2 362
M F 1 158
M F 1 36
M F 1 293
M M 3 1098
M M 3 1002
M M 3 1156
M M 2 708
M M 2 580
M M 2 843
M M 1 495
M M 1 376
M M 1 612
L F 3 1037
L F 3 902
L F 3 1183
L F 2 779
L F 2 625
L F 2 921
L F 1 596
L F 1 458
L F 1 732
L M 3 1667
L M 3 1527
L M 3 1793
L M 2 1192
L M 2 1005
L M 2 1306
L M 1 914
L M 1 783
L M 1 1051
